,IFT,IFT_pred
190,22.8,27.418617
1694,33.19,33.668877
1645,35.27,34.740204
364,50.42,50.29839
868,47.7,45.587803
1159,41.29,41.89764
245,52.9,51.35082
881,37.4,37.262753
274,28.8,28.006712
147,34.6,34.413574
1129,37.74,37.65223
294,35.44,35.17311
324,50.45,49.87385
770,48.0,47.697758
799,51.6,51.48319
539,48.76,48.419044
1715,35.97,36.5761
676,31.9,31.936678
1134,31.0,31.36191
900,48.5,48.144436
768,54.9,54.749287
5,29.65,29.772934
974,48.0,47.7226
1168,26.26,26.174585
103,44.3,42.458164
210,30.3,30.466612
1470,71.12,69.87863
41,30.19,29.994492
1386,47.24,46.51092
1673,36.89,36.970722
377,27.51,27.175993
1278,41.69,41.6635
146,45.3,43.526066
1661,35.44,35.586575
1110,37.5,37.507084
1566,38.43,38.07619
1455,61.42,60.903553
1089,47.5,47.485695
1739,43.81,43.914536
205,26.5,26.91237
1068,40.2,40.287983
27,46.84,47.324562
1104,49.7,48.455517
1461,57.58,57.314243
1137,30.98,30.202822
204,33.7,32.55885
1543,39.6,40.072857
1744,39.38,39.133816
670,33.7,33.718834
624,52.4,51.614933
411,30.3,30.740643
740,35.3,35.032898
1032,42.9,42.862225
73,36.37,36.380375
1424,47.49,47.057915
1142,68.52,67.203835
998,55.1,55.149426
1725,36.78,36.632645
206,31.3,28.539297
867,49.8,49.753475
