,IFT,IFT ANN model
323,52.3,53.554077
324,35.2,35.319004
325,33.54,33.308556
326,20.89,20.096777
327,46.13,45.17448
328,27.1,27.102474
329,32.0,31.640574
330,38.52,38.94928
331,35.42,35.235035
332,44.63,44.3318
333,45.6,45.697086
334,28.8,29.93635
335,69.26,69.71229
336,36.09,36.697025
337,53.4,52.96249
338,32.11,32.566517
339,69.7,68.25344
340,56.35,56.585247
341,36.6,36.442883
342,34.3,34.18475
343,29.78,29.943684
344,28.4,28.451183
345,32.28,31.930182
346,31.2,27.949842
347,41.6,40.491444
348,27.2,26.94425
349,48.95,49.021194
350,49.5,49.058464
351,44.5,43.654564
352,30.0,27.978981
353,59.33,60.008816
354,27.4,27.78095
355,61.3,60.87591
356,52.98,50.15003
357,33.1,32.19888
358,22.7,22.621983
359,56.21,56.304317
360,43.6,43.334423
361,29.9,28.889866
362,55.58,54.40503
363,31.42,32.021847
364,52.42,50.932285
365,41.4,40.655857
366,25.0,24.817392
367,29.46,28.333675
368,35.28,37.156597
369,38.01,38.1336
370,52.4,55.34727
371,40.24,39.73631
372,39.37,38.90919
373,32.2,30.99396
374,36.5,36.869343
375,35.8,35.871998
376,32.45,31.660366
377,30.9,31.04558
378,45.3,45.77011
379,27.3,28.539625
380,44.79,44.482403
381,38.0,37.368244
382,29.05,29.12098
383,28.7,28.720263
384,25.97,27.490189
385,33.5,33.880024
386,54.9,56.348255
387,34.58,34.116863
388,31.9,31.486778
389,57.46,57.601982
390,42.42,41.46858
391,42.75,44.40883
392,59.22,59.00518
393,34.7,34.564465
394,58.2,57.035686
395,32.1,29.665672
396,62.48,62.136127
397,67.2,65.34612
398,29.95,29.675875
399,52.3,50.35999
400,27.44,27.266546
401,28.78,29.384432
402,74.0,71.624214
403,66.33,64.3062
404,39.45,40.575733
405,48.86,50.305744
406,23.5,27.706182
407,69.8,68.606575
408,37.11,37.28994
409,31.1,31.359047
410,60.29,58.860085
411,36.14,36.838398
412,57.2,57.8044
413,37.97,37.855465
414,52.4,51.79904
415,64.9,65.004074
416,53.3,54.332928
417,48.16,49.1047
418,46.79,46.745304
419,28.3,28.258448
420,42.9,42.44942
421,34.09,34.51408
422,51.0,50.43441
423,29.4,31.68933
424,24.3,23.87934
425,36.97,37.46095
426,29.04,30.728395
427,53.0,52.794956
428,32.4,29.568161
429,74.8,74.60762
430,30.24,30.602852
431,30.1,29.696316
432,43.9,43.925632
433,31.5,31.316303
434,36.09,36.14371
435,35.6,35.469032
436,29.2,28.123537
437,63.5,63.386765
438,29.67,30.302288
439,56.2,57.72936
440,31.84,31.238184
441,40.76,41.22974
442,64.9,65.654724
443,39.8,39.971897
444,34.9,30.475187
445,34.6,33.894814
446,28.55,29.46551
447,40.52,41.00994
448,27.88,31.670164
449,46.59,46.236275
450,39.59,40.001892
451,37.11,36.952213
452,23.64,22.853159
453,55.05,54.950665
454,35.91,36.26914
455,59.05,59.91316
456,33.9,33.625248
457,65.7,67.39066
458,32.59,33.336674
459,40.8,40.124317
460,27.0,27.028625
461,45.2,48.294716
462,42.9,43.159107
463,45.41,46.30959
464,53.89,52.847393
465,37.0,36.645817
466,42.5,41.479435
467,50.78,50.186146
468,28.13,27.165724
469,32.22,31.030996
470,24.6,24.520788
471,19.82,18.904154
472,37.46,37.92287
473,45.85,44.705482
474,51.3,50.44669
475,30.6,30.87253
476,31.81,30.349747
477,41.1,40.39248
478,57.0,59.431664
479,58.06,58.190327
480,45.05,45.487
481,40.8,40.118893
482,42.4,41.27991
483,32.82,32.28633
484,29.82,28.170246
485,36.05,35.946873
486,55.9,57.39336
487,46.65,47.649685
488,31.7,32.237057
489,61.3,62.521416
490,42.19,42.18449
491,31.14,30.48154
492,46.68,46.72126
493,57.0,56.65478
494,45.9,45.411488
495,27.8,27.643946
496,22.25,22.664232
497,29.26,30.40552
498,28.1,29.866894
499,27.73,27.528727
500,23.38,22.852888
501,60.84,60.02587
502,43.7,43.76345
503,50.53,50.471615
504,46.3,46.052956
505,28.4,28.491146
506,36.85,36.87895
507,25.65,30.22314
508,29.05,29.838549
509,40.6,40.113155
510,45.38,44.81771
511,45.67,46.607754
512,55.98,55.588135
513,33.4,32.803226
514,36.6,36.329624
515,28.88,29.774977
516,20.2,20.038406
517,56.13,57.712284
518,23.14,23.104088
519,20.2,19.862165
520,62.55,62.639576
521,25.8,24.522072
522,31.1,30.40415
523,31.86,32.059586
524,36.86,38.426617
525,27.86,27.93011
526,56.7,56.914776
527,43.02,43.17831
528,62.1,61.71741
529,68.78,69.79554
