,IFT,IFT ANN model,IFT ANN model
198,28.8,28.672398,28.672398
199,48.9,48.37962,48.37962
200,64.77,62.77498,62.77498
201,33.81,33.14508,33.14508
202,23.58,28.09873,28.09873
203,38.4,38.204994,38.204994
204,40.96,39.19155,39.19155
205,46.94,48.301678,48.301678
206,41.58,40.74854,40.74854
207,35.4,34.73631,34.73631
208,48.9,48.5462,48.5462
209,32.5,37.065865,37.065865
210,47.96,48.786327,48.786327
211,43.15,43.954338,43.954338
212,35.7,35.312664,35.312664
213,40.54,40.64113,40.64113
214,59.04,59.863426,59.863426
215,30.31,29.366512,29.366512
216,50.7,51.427113,51.427113
217,34.0,34.358154,34.358154
218,39.54,38.684185,38.684185
219,47.68,47.40607,47.40607
220,49.5,49.458073,49.458073
221,51.15,50.909595,50.909595
222,50.69,50.24345,50.24345
223,38.56,37.150284,37.150284
224,28.67,31.241968,31.241968
225,37.76,36.139244,36.139244
226,48.4,48.008045,48.008045
227,45.8,46.926266,46.926266
228,42.4,42.5816,42.5816
229,25.4,25.191008,25.191008
230,31.5,32.189022,32.189022
231,34.1,33.739773,33.739773
232,41.1,41.203285,41.203285
233,48.5,48.259354,48.259354
234,45.8,44.69115,44.69115
235,27.46,26.592396,26.592396
236,31.2,31.3915,31.3915
237,33.92,36.017223,36.017223
238,26.2,26.212114,26.212114
239,52.42,51.214207,51.214207
240,27.6,27.975552,27.975552
241,40.8,40.901417,40.901417
242,55.86,52.674145,52.674145
243,51.68,54.478153,54.478153
244,55.54,55.654854,55.654854
245,45.43,45.398434,45.398434
246,34.4,36.72443,36.72443
247,40.1,39.779507,39.779507
248,54.3,54.244877,54.244877
249,38.9,38.189205,38.189205
250,31.0,28.636,28.636
251,26.81,26.060612,26.060612
252,57.41,58.18607,58.18607
253,36.6,36.765133,36.765133
254,33.91,33.66161,33.66161
255,53.3,53.828987,53.828987
256,36.0,34.76295,34.76295
257,29.84,26.191355,26.191355
258,27.59,27.736736,27.736736
259,44.2,43.628536,43.628536
260,33.6,33.901634,33.901634
261,35.13,35.306202,35.306202
262,53.39,51.327183,51.327183
263,32.83,34.0378,34.0378
264,61.28,60.955696,60.955696
265,35.0,34.184643,34.184643
266,29.1,29.816748,29.816748
267,27.65,30.341301,30.341301
268,48.86,50.792664,50.792664
269,29.35,28.491413,28.491413
270,30.34,29.177984,29.177984
271,52.4,54.349934,54.349934
272,39.5,39.00866,39.00866
273,27.0,26.837303,26.837303
274,29.8,29.813166,29.813166
275,62.31,62.54436,62.54436
276,25.02,25.70215,25.70215
277,35.5,35.50731,35.50731
278,64.1,62.965725,62.965725
279,41.86,41.558666,41.558666
280,58.2,61.088306,61.088306
281,30.43,31.837782,31.837782
282,29.5,29.579386,29.579386
283,58.98,59.396385,59.396385
284,45.2,44.851303,44.851303
285,62.2,62.848324,62.848324
286,57.96,58.218388,58.218388
287,33.05,33.620377,33.620377
288,25.8,25.960375,25.960375
289,60.54,57.413586,57.413586
290,29.27,29.249475,29.249475
291,27.3,26.16141,26.16141
292,46.8,45.729706,45.729706
293,26.5,25.9341,25.9341
294,30.92,30.727882,30.727882
295,40.06,40.370808,40.370808
296,39.02,37.32522,37.32522
297,61.0,61.022076,61.022076
298,36.0,34.76841,34.76841
299,37.2,37.39687,37.39687
300,45.8,43.875275,43.875275
301,34.14,34.73865,34.73865
302,30.62,28.415096,28.415096
303,44.8,44.004402,44.004402
304,44.25,44.60801,44.60801
305,30.8,31.206823,31.206823
306,33.72,34.427288,34.427288
307,40.92,40.911396,40.911396
308,43.09,44.086903,44.086903
309,63.55,62.774113,62.774113
310,42.1,40.73532,40.73532
311,37.97,38.08666,38.08666
312,67.96,68.634346,68.634346
313,67.45,67.44207,67.44207
314,58.7,59.174454,59.174454
315,62.95,62.07616,62.07616
316,31.69,33.27757,33.27757
317,35.81,35.741566,35.741566
318,44.9,44.66607,44.66607
319,38.85,38.325787,38.325787
320,32.6,32.724842,32.724842
321,35.6,35.610676,35.610676
322,61.98,61.57555,61.57555
323,52.3,54.108906,54.108906
324,35.2,35.198185,35.198185
325,33.54,33.394497,33.394497
326,20.89,19.615269,19.615269
327,46.13,45.258995,45.258995
328,27.1,27.329304,27.329304
329,32.0,31.632656,31.632656
330,38.52,38.97859,38.97859
331,35.42,35.10431,35.10431
332,44.63,45.43268,45.43268
333,45.6,45.172318,45.172318
334,28.8,29.949974,29.949974
335,69.26,69.61827,69.61827
336,36.09,36.99341,36.99341
337,53.4,52.165257,52.165257
338,32.11,31.924559,31.924559
339,69.7,68.51818,68.51818
340,56.35,56.602097,56.602097
341,36.6,36.584686,36.584686
342,34.3,34.353558,34.353558
343,29.78,29.539442,29.539442
344,28.4,28.700022,28.700022
345,32.28,32.078735,32.078735
346,31.2,27.528246,27.528246
347,41.6,41.218918,41.218918
348,27.2,26.925917,26.925917
349,48.95,49.03274,49.03274
350,49.5,49.502754,49.502754
351,44.5,44.359814,44.359814
352,30.0,28.12747,28.12747
353,59.33,59.675385,59.675385
354,27.4,27.910372,27.910372
355,61.3,60.480873,60.480873
356,52.98,49.3613,49.3613
357,33.1,32.933365,32.933365
358,22.7,22.589014,22.589014
359,56.21,55.542736,55.542736
360,43.6,43.466408,43.466408
361,29.9,29.664854,29.664854
362,55.58,54.395805,54.395805
363,31.42,32.101757,32.101757
364,52.42,51.150097,51.150097
365,41.4,41.005585,41.005585
366,25.0,25.023035,25.023035
367,29.46,28.7384,28.7384
368,35.28,36.315334,36.315334
369,38.01,38.46077,38.46077
370,52.4,55.08977,55.08977
371,40.24,39.035084,39.035084
372,39.37,38.49617,38.49617
373,32.2,31.180555,31.180555
374,36.5,36.750263,36.750263
375,35.8,35.901512,35.901512
376,32.45,32.23645,32.23645
377,30.9,31.049162,31.049162
378,45.3,43.55558,43.55558
379,27.3,28.857925,28.857925
380,44.79,44.340103,44.340103
381,38.0,36.828297,36.828297
382,29.05,28.896452,28.896452
383,28.7,28.49586,28.49586
384,25.97,26.829893,26.829893
385,33.5,34.063625,34.063625
386,54.9,56.709297,56.709297
