,IFT,IFT_pred
1756,60.24,60.36863
863,55.7,55.55594
708,31.9,31.868898
989,42.3,42.249874
1509,58.33,58.281532
1096,50.0,50.21066
1091,46.1,46.226143
1754,40.55,40.321247
1414,54.21,54.410183
1149,29.59,29.346403
1494,52.46,52.61187
842,39.3,39.36213
232,27.5,27.57169
1144,50.67,50.905495
776,37.7,37.29137
1031,47.2,47.516663
1501,56.45,56.204258
902,44.8,44.947342
1162,30.1,30.657911
1486,64.2,64.11107
1755,40.01,39.91782
742,34.7,34.65137
1392,42.83,43.454613
361,32.87,33.275753
805,43.5,43.383747
1346,64.74,64.6275
351,35.11,35.224716
1384,51.46,51.43259
1435,71.3,71.1814
323,29.89,29.968674
1615,28.71,28.940487
730,37.0,37.15369
1623,33.4,33.41078
542,39.67,39.63175
1000,52.0,52.148495
525,42.49,42.2526
1758,50.9,50.289375
1079,32.2,32.314175
458,29.23,29.238794
477,45.13,45.25543
650,29.2,29.021954
1211,30.6,30.546051
1677,53.78,53.40546
13,32.24,32.3589
1456,60.13,60.372932
1710,40.52,40.313988
1283,38.36,38.454845
368,36.72,36.787758
938,42.5,42.33239
341,38.34,38.341908
1476,67.82,67.842255
706,33.1,33.14465
660,40.0,40.224445
691,30.7,31.133007
279,31.25,30.99561
602,33.6,33.545444
1297,44.86,44.91898
317,46.39,46.081703
1513,60.81,60.771538
1231,63.3,63.19431
1536,58.46,58.2309
400,29.58,29.82407
335,41.81,42.019703
168,22.23,23.437656
594,45.0,45.056236
1418,51.23,51.537296
481,47.02,46.70011
505,49.49,49.446617
1640,39.63,39.773205
178,23.05,24.040424
1360,33.08,33.525864
1703,36.71,36.729477
1198,21.82,21.45219
365,47.21,47.26076
775,43.3,43.211697
1363,37.74,37.225517
891,31.5,31.353281
319,38.83,38.940304
1511,68.02,68.17399
1368,34.1,34.08804
1377,63.96,63.66388
1481,66.79,66.83029
1173,49.03,48.950794
355,47.92,48.171013
715,35.0,35.168667
1014,44.8,44.50015
284,41.67,41.337223
606,32.8,32.535255
992,67.4,67.56313
266,30.7,30.636717
1637,48.15,47.871788
679,40.8,40.617504
520,57.0,57.093338
978,46.5,46.693962
610,31.6,31.636625
392,27.54,27.854109
1095,44.4,44.59141
1391,42.33,42.419025
782,35.8,35.69855
1716,57.12,57.237637
1525,64.41,64.005226
1130,35.06,35.192764
1092,56.7,56.649174
657,33.5,33.983513
198,44.2,44.258812
1257,66.76,67.06232
1315,69.19,69.623604
637,28.1,28.313854
135,28.0,28.341616
197,46.1,46.721134
646,30.0,30.057302
1657,47.96,48.391926
193,64.5,63.720818
1294,48.38,48.28265
1534,51.99,52.444294
1286,67.06,66.84814
977,48.0,47.905487
541,44.64,44.819595
287,33.6,33.59398
537,53.44,53.245365
734,62.0,61.52971
756,32.6,32.451492
1573,29.4,29.371216
1757,55.32,55.790783
1749,44.67,45.05037
1666,58.22,57.95215
18,45.46,45.384438
645,22.5,22.466942
941,39.8,39.714417
1002,50.5,50.702908
843,42.1,42.107525
1662,34.71,34.690727
445,43.79,43.820183
1365,31.88,31.94739
1488,57.68,57.401222
675,47.0,46.87378
759,31.2,31.34987
1175,41.88,41.74381
439,29.19,29.311935
1448,59.54,59.703247
724,44.6,44.186085
1439,58.03,58.182465
1336,28.12,27.651854
792,32.7,32.867043
1433,43.21,43.320362
4,30.49,30.39779
478,65.73,65.92802
1447,63.08,63.479
786,34.8,34.260532
826,32.4,32.29404
903,46.9,46.92587
1609,30.82,30.803545
1219,38.0,37.781853
858,35.4,35.26006
1143,59.6,59.575966
1148,29.91,28.54961
870,44.3,44.47878
1097,44.2,44.254536
1028,49.3,49.226208
752,34.0,33.806995
416,27.13,26.966467
309,43.88,43.15968
486,29.66,29.44192
1314,27.56,27.82042
353,31.46,31.159544
877,39.6,39.54149
549,31.21,31.287626
755,33.7,33.282936
434,42.68,43.01136
926,62.2,62.506695
219,69.3,69.403046
692,43.8,43.48815
1237,55.21,54.97833
965,58.4,58.318363
115,31.1,31.197716
731,24.8,24.837957
947,35.0,35.169785
558,55.3,55.443306
48,39.63,39.673748
616,29.2,29.271305
1576,35.94,35.73529
620,29.8,29.453846
261,30.3,30.228601
612,30.6,30.766125
1480,68.76,68.416695
1706,58.22,58.046486
560,43.9,44.193283
707,43.1,43.31208
1416,53.25,53.15695
1712,37.45,37.584175
195,55.1,54.946198
322,31.11,30.946756
490,58.79,58.36009
872,42.3,42.291943
37,39.82,39.883526
590,59.6,59.777058
698,36.8,36.790367
1291,55.58,55.6794
1550,39.1,39.164906
30,38.8,38.560425
1626,54.77,54.999695
313,29.85,29.59574
1171,56.79,57.223972
1337,27.22,27.447203
553,29.13,28.597067
763,30.1,30.125765
579,30.5,29.931368
1351,51.2,51.46852
1412,58.71,58.49183
172,25.07,24.988203
1282,40.59,40.579353
774,38.5,38.48121
84,32.18,31.83423
482,41.29,40.65939
129,25.5,25.452744
635,29.9,29.385891
555,24.04,24.347198
848,38.0,38.16851
1074,37.2,36.826622
1027,53.3,53.17246
138,36.3,36.261303
455,38.15,37.90351
163,25.0,24.802612
500,27.14,27.753477
565,43.1,42.29296
1678,46.36,45.89171
145,27.5,27.051474
1403,34.77,35.036526
793,29.5,29.887426
1326,38.01,38.229248
739,48.7,49.19608
1024,59.6,59.95134
1275,48.17,48.272648
356,46.57,46.81008
1048,36.1,36.186905
285,37.45,37.74048
42,28.67,28.778828
1069,39.3,39.23007
885,34.0,34.05544
503,56.03,56.075138
127,28.3,28.440756
1651,31.0,31.092901
743,42.5,42.694126
275,28.2,28.173124
1013,43.4,43.27157
1240,54.58,55.18807
1507,65.62,65.95411
281,28.49,28.411116
1625,33.06,33.132206
915,36.6,36.538544
933,47.0,47.08604
1553,50.1,50.778645
959,69.2,69.428505
1298,43.14,43.56354
1073,37.0,37.34696
170,23.33,23.056297
1685,36.78,36.411415
1639,41.31,41.68309
996,58.6,58.536934
1764,42.43,42.348515
238,30.5,30.425621
401,29.79,29.734592
596,39.5,39.342564
667,29.1,29.016426
512,30.47,30.317123
1083,30.8,30.615976
379,37.75,37.92098
923,33.1,33.02383
1568,32.35,32.40554
155,59.66,59.6616
1325,38.65,37.82917
890,34.3,34.48934
1038,39.7,39.800385
925,32.5,32.614017
1174,45.62,45.60231
530,32.75,32.515663
1410,60.47,60.54101
765,29.6,29.640219
1223,33.0,33.791515
1003,49.1,48.965176
950,35.1,35.081276
1214,29.1,28.96631
1343,22.78,22.977053
1165,27.39,27.427006
1333,29.72,30.271547
982,44.5,44.486973
813,35.8,35.64232
1060,50.4,50.164925
684,29.8,29.881788
800,56.7,56.05167
1128,48.7,48.456512
409,29.24,28.568785
993,62.2,62.03632
237,30.7,30.592184
296,33.31,33.591366
200,40.1,40.30127
375,27.93,27.842018
1183,46.34,46.15006
99,42.39,42.501278
686,59.2,59.57977
647,20.9,20.85974
109,30.8,30.513153
179,22.74,23.301811
622,58.2,58.19872
1084,32.9,33.10258
630,38.5,38.566666
1285,69.85,69.909676
1690,34.83,34.644924
158,35.95,36.176476
1653,30.75,30.803247
134,28.2,27.982944
485,30.28,30.208424
887,32.8,32.57123
52,30.87,30.41746
1362,38.47,38.204796
1258,63.1,63.762074
329,32.24,32.64596
968,49.9,49.825188
736,51.0,51.45696
754,33.2,33.173794
1023,60.6,60.45173
1305,37.27,37.389748
1457,57.71,57.867893
22,35.96,35.737198
784,35.5,35.579338
473,33.64,33.579594
608,32.4,32.23488
1607,42.96,42.43687
1146,36.65,37.26802
1709,41.56,41.629494
289,30.28,30.395145
467,34.78,34.46409
604,33.1,33.09624
66,43.15,43.134266
451,27.94,27.921444
1700,39.37,39.308666
1040,39.3,39.19105
1731,36.12,36.29314
1271,49.39,49.65586
143,25.4,25.421532
1549,40.4,40.59726
716,29.9,29.77551
1341,25.28,25.697382
1309,29.69,30.416506
532,28.36,27.727436
682,30.7,30.749668
89,46.5,46.48718
221,59.0,58.819138
1243,47.78,47.65435
472,31.11,30.940248
623,42.5,43.014153
1502,54.02,54.091476
1446,65.84,65.757256
1760,47.13,47.0451
1499,51.19,51.36911
420,28.09,28.300434
830,65.8,65.985634
140,27.5,27.989824
462,38.26,38.266697
911,39.8,39.867546
105,35.2,34.916058
1373,30.33,30.695944
1688,35.77,35.780575
1551,38.1,38.06655
942,39.6,39.121376
1372,33.51,32.96271
613,23.9,24.355455
1374,29.23,29.660524
1349,55.97,56.2148
1045,35.4,35.280903
518,19.72,20.35688
1201,13.84,14.169597
49,35.04,35.161556
1156,52.28,52.057377
1482,63.49,63.390606
53,29.86,29.945564
1100,48.6,49.02667
1344,21.57,21.74912
1264,53.34,53.111374
818,34.8,34.94694
639,27.3,27.349878
1050,35.7,35.328144
1504,49.17,49.150375
1591,53.2,53.084656
956,33.5,33.378056
25,34.39,34.4538
77,27.52,27.597464
248,66.0,66.2993
1357,43.09,43.223328
1193,32.91,33.00054
1389,45.35,44.81197
969,53.0,52.923862
272,29.7,29.855427
1015,42.4,42.277252
240,29.6,29.508066
905,44.8,44.939026
310,40.21,40.063896
984,44.2,44.272457
1077,33.6,33.42834
241,65.1,65.02391
394,30.05,29.589258
1613,29.92,29.710499
1521,64.76,64.50843
1638,43.58,43.603584
1086,76.1,75.23109
1592,42.14,42.241558
1679,43.09,43.55399
1179,24.35,24.054338
