,IFT,IFT_pred
297,32.82,33.030964
1614,29.82,29.207188
1633,36.05,35.26513
1541,55.9,56.151543
1385,46.65,47.51886
187,31.7,31.599813
831,61.3,60.99975
1680,42.19,42.359108
3,31.14,30.645046
45,46.68,44.97325
964,57.0,58.827084
1554,45.9,48.97365
1113,27.8,27.765486
556,22.25,23.519382
404,29.26,30.26773
1563,28.1,27.919302
487,27.73,27.684214
1181,23.38,23.282166
1443,60.84,62.233395
983,43.7,44.449776
1246,50.53,50.047523
591,46.3,45.757694
669,28.4,28.963097
302,36.85,37.426723
159,25.65,27.059235
1152,29.05,28.160366
845,40.6,39.019917
57,45.38,44.846245
1738,45.67,48.055412
1449,55.98,55.04477
822,33.4,32.504364
812,36.6,37.112087
1153,28.88,27.541227
586,20.2,21.356453
95,56.13,55.08979
1197,23.14,23.973835
649,20.2,22.112211
1451,62.55,61.33928
116,25.8,25.722322
259,31.1,30.627941
1650,31.86,31.550539
1401,36.86,35.443943
8,27.86,27.994724
218,56.7,58.659443
366,43.02,44.77811
963,62.1,62.86714
1506,68.78,68.27319
