,IFT,IFT ANN model
510,45.38,44.306194
511,45.67,46.047855
512,55.98,55.350952
513,33.4,32.380142
514,36.6,36.764397
515,28.88,27.580063
516,20.2,18.027699
517,56.13,57.679287
518,23.14,23.49374
519,20.2,20.382069
520,62.55,63.562057
521,25.8,23.794487
522,31.1,30.301514
523,31.86,31.742115
524,36.86,37.955063
525,27.86,28.2795
526,56.7,56.931103
527,43.02,42.63612
528,62.1,61.722885
529,68.78,69.57795
