,IFT,IFT_pred
1621,34.14,33.72706
1147,30.62,29.043285
836,44.8,45.094822
1280,44.25,44.109493
661,30.8,30.568336
1369,33.72,33.115437
1394,40.92,42.494938
1719,43.09,44.068485
489,63.55,64.74196
628,42.1,41.370705
1723,37.97,38.289207
1375,67.96,67.52321
1227,67.45,67.30784
995,58.7,58.476025
1530,62.95,57.982906
1132,31.69,35.07245
1734,35.81,35.25409
1011,44.9,45.194405
1302,38.85,37.767628
575,32.6,32.189392
732,35.6,35.10714
1746,61.98,60.359715
999,52.3,53.509632
924,35.2,35.01896
431,33.54,34.97789
1189,20.89,20.36114
348,46.13,46.700535
203,27.1,25.866255
633,32.0,31.97065
1722,38.52,39.452763
23,35.42,35.8908
470,44.63,44.487755
980,45.6,45.151703
386,28.8,29.150545
1256,69.26,69.23966
1714,36.09,36.416424
656,53.4,53.39689
1649,32.11,31.956638
1440,69.7,67.94823
1263,56.35,55.86722
852,36.6,36.040432
1116,34.3,33.59891
399,29.78,29.605188
230,28.4,27.65009
1312,32.28,31.889023
150,31.2,30.195992
1034,41.6,40.82216
587,27.2,27.736387
1759,48.95,48.32336
931,49.5,50.459442
1033,44.5,44.477245
151,30.0,31.143587
1348,59.33,59.816223
