,IFT,IFT_pred
782,35.8,35.596725
1716,57.12,57.1648
1525,64.41,64.2497
1130,35.06,35.35456
1092,56.7,56.569065
657,33.5,33.915207
198,44.2,44.092594
1257,66.76,66.76416
1315,69.19,69.58151
637,28.1,28.288229
135,28.0,28.311625
197,46.1,46.45476
646,30.0,29.953846
1657,47.96,48.06463
193,64.5,64.456764
1294,48.38,48.14262
1534,51.99,52.634132
1286,67.06,66.914566
977,48.0,47.91502
541,44.64,44.741993
287,33.6,33.701275
537,53.44,53.325996
734,62.0,61.66755
756,32.6,32.469025
1573,29.4,29.316504
1757,55.32,55.56805
1749,44.67,45.003635
1666,58.22,58.17272
18,45.46,45.138306
645,22.5,22.682348
941,39.8,39.70198
1002,50.5,50.45496
843,42.1,42.200653
1662,34.71,34.427956
445,43.79,43.808987
1365,31.88,31.967205
1488,57.68,57.658596
675,47.0,46.97649
759,31.2,31.535221
1175,41.88,41.83459
439,29.19,29.383242
1448,59.54,59.846474
724,44.6,44.42327
1439,58.03,58.20716
1336,28.12,28.126272
792,32.7,32.848873
1433,43.21,43.224712
4,30.49,30.312614
478,65.73,65.80296
1447,63.08,63.47924
786,34.8,34.526443
826,32.4,32.03053
903,46.9,46.71379
1609,30.82,30.849215
1219,38.0,37.981197
858,35.4,35.367966
1143,59.6,59.62411
1148,29.91,28.510763
870,44.3,44.290703
1097,44.2,43.88879
1028,49.3,49.16781
752,34.0,33.98642
416,27.13,26.907585
309,43.88,43.443188
486,29.66,29.488075
1314,27.56,27.902472
353,31.46,31.278925
877,39.6,39.75906
549,31.21,31.523552
755,33.7,33.29869
434,42.68,42.591545
926,62.2,62.546593
219,69.3,69.5822
692,43.8,43.312366
1237,55.21,54.95754
965,58.4,58.158073
115,31.1,31.23613
731,24.8,24.743336
947,35.0,34.859684
558,55.3,55.38947
48,39.63,39.51839
616,29.2,29.340206
1576,35.94,35.66344
620,29.8,29.600443
261,30.3,30.307293
612,30.6,30.708553
1480,68.76,68.78839
1706,58.22,58.16904
560,43.9,43.976894
707,43.1,43.05808
1416,53.25,53.109356
1712,37.45,37.709755
195,55.1,55.144447
322,31.11,31.148087
490,58.79,58.432648
872,42.3,42.308506
37,39.82,39.83894
590,59.6,59.739048
698,36.8,36.754448
1291,55.58,55.663162
1550,39.1,38.973583
30,38.8,38.396606
1626,54.77,55.05931
313,29.85,29.501371
1171,56.79,56.816254
1337,27.22,27.378965
553,29.13,28.629374
763,30.1,30.048191
579,30.5,30.01443
1351,51.2,51.2596
1412,58.71,58.55762
172,25.07,24.550894
1282,40.59,40.531563
774,38.5,38.273308
84,32.18,32.052254
482,41.29,40.734093
129,25.5,25.469513
635,29.9,29.648647
555,24.04,24.167759
848,38.0,37.99526
1074,37.2,36.862232
1027,53.3,53.44905
138,36.3,36.031292
455,38.15,37.8884
163,25.0,24.75455
500,27.14,27.697382
565,43.1,42.458023
1678,46.36,45.910473
145,27.5,27.08147
1403,34.77,34.842594
793,29.5,29.60171
1326,38.01,37.73202
739,48.7,49.19759
1024,59.6,59.73965
1275,48.17,48.18922
356,46.57,46.72151
1048,36.1,36.017467
285,37.45,37.648262
42,28.67,28.775034
1069,39.3,39.407143
885,34.0,34.024933
503,56.03,56.096657
127,28.3,28.240551
1651,31.0,31.156153
743,42.5,42.606003
275,28.2,27.962032
1013,43.4,43.323963
1240,54.58,54.87545
1507,65.62,65.6126
281,28.49,28.476608
1625,33.06,33.099247
915,36.6,36.747482
933,47.0,47.038414
1553,50.1,50.533493
959,69.2,69.81131
1298,43.14,43.33667
1073,37.0,37.07593
170,23.33,22.822641
1685,36.78,36.408783
1639,41.31,41.481815
996,58.6,58.534668
1764,42.43,42.354527
238,30.5,30.363132
401,29.79,29.620216
596,39.5,39.625443
667,29.1,29.235447
512,30.47,30.046888
1083,30.8,30.861359
379,37.75,37.808224
923,33.1,33.207684
1568,32.35,32.23253
155,59.66,59.814407
1325,38.65,38.36484
890,34.3,34.382416
1038,39.7,39.948757
925,32.5,32.467457
1174,45.62,45.631405
530,32.75,32.780396
1410,60.47,60.679127
765,29.6,29.627787
1223,33.0,33.552334
1003,49.1,49.106724
950,35.1,35.041626
1214,29.1,29.129847
1343,22.78,22.869051
1165,27.39,27.299143
1333,29.72,30.120026
982,44.5,44.363247
813,35.8,35.8383
1060,50.4,50.379353
684,29.8,29.895975
800,56.7,56.34718
1128,48.7,48.616024
409,29.24,28.595703
993,62.2,62.007942
237,30.7,30.65479
296,33.31,33.61661
200,40.1,40.217773
375,27.93,27.661303
1183,46.34,46.198288
99,42.39,42.370975
686,59.2,59.5148
647,20.9,21.004879
109,30.8,30.595755
179,22.74,23.261652
622,58.2,58.336052
1084,32.9,33.009556
630,38.5,38.245518
1285,69.85,69.64818
1690,34.83,34.77305
158,35.95,36.364155
1653,30.75,30.7521
134,28.2,28.115526
485,30.28,30.192566
887,32.8,32.65168
52,30.87,30.61734
1362,38.47,37.978592
1258,63.1,63.34462
329,32.24,32.56292
968,49.9,49.812183
736,51.0,51.331367
754,33.2,33.045757
1023,60.6,60.65726
1305,37.27,36.959465
1457,57.71,57.860348
22,35.96,35.82265
784,35.5,35.48723
473,33.64,33.527542
608,32.4,32.1911
1607,42.96,42.649082
1146,36.65,37.222553
1709,41.56,41.513912
289,30.28,30.288643
467,34.78,34.63418
604,33.1,32.934757
66,43.15,43.296417
451,27.94,27.893473
1700,39.37,39.5175
1040,39.3,39.046192
1731,36.12,36.35092
1271,49.39,49.72856
143,25.4,25.361053
1549,40.4,40.775894
716,29.9,29.899008
1341,25.28,25.694855
1309,29.69,30.453787
532,28.36,27.998814
682,30.7,30.73338
89,46.5,46.431328
221,59.0,58.960308
1243,47.78,47.924225
472,31.11,30.914703
623,42.5,42.87513
1502,54.02,54.153217
1446,65.84,65.86184
1760,47.13,47.048016
1499,51.19,51.253956
420,28.09,28.40598
830,65.8,65.75291
140,27.5,28.009962
462,38.26,38.289715
911,39.8,40.10776
105,35.2,35.117794
1373,30.33,30.6626
1688,35.77,35.76702
1551,38.1,38.116276
942,39.6,39.515114
1372,33.51,32.518753
613,23.9,24.385355
1374,29.23,29.80854
1349,55.97,56.005924
1045,35.4,35.253532
518,19.72,20.103544
1201,13.84,14.014426
49,35.04,35.176903
1156,52.28,52.22893
1482,63.49,63.389526
53,29.86,29.859903
1100,48.6,48.593212
1344,21.57,21.627357
1264,53.34,53.379974
818,34.8,34.91586
639,27.3,27.11739
1050,35.7,35.3496
1504,49.17,49.022446
1591,53.2,53.120613
956,33.5,33.37143
25,34.39,34.568756
77,27.52,27.440554
248,66.0,66.27381
1357,43.09,43.224285
1193,32.91,32.988132
1389,45.35,45.006535
969,53.0,52.874966
272,29.7,29.864233
