,IFT,IFT ANN model,IFT ANN model,IFT ANN model
151,28.7,28.442019,28.442019,28.442019
152,44.98,43.568874,43.568874,43.568874
153,50.49,48.254265,48.254265,48.254265
154,61.0,61.50639,61.50639,61.50639
155,36.7,36.213146,36.213146,36.213146
156,60.56,62.24388,62.24388,62.24388
157,46.96,43.569088,43.569088,43.569088
158,46.94,47.099934,47.099934,47.099934
159,18.9,17.898825,17.898825,17.898825
160,39.43,38.323948,38.323948,38.323948
161,46.36,46.123913,46.123913,46.123913
162,39.7,38.32473,38.32473,38.32473
163,46.77,45.634563,45.634563,45.634563
164,41.7,42.61165,42.61165,42.61165
165,52.92,51.6899,51.6899,51.6899
166,29.07,27.861433,27.861433,27.861433
167,54.65,54.4626,54.4626,54.4626
168,36.87,37.09858,37.09858,37.09858
169,40.8,40.294956,40.294956,40.294956
170,29.1,28.433403,28.433403,28.433403
171,57.15,56.45899,56.45899,56.45899
172,32.2,32.047874,32.047874,32.047874
173,42.73,43.40967,43.40967,43.40967
174,27.9,27.62051,27.62051,27.62051
175,37.49,38.363457,38.363457,38.363457
176,21.23,20.719114,20.719114,20.719114
177,29.0,27.754984,27.754984,27.754984
178,27.49,27.285997,27.285997,27.285997
179,31.6,30.810534,30.810534,30.810534
180,47.87,47.761013,47.761013,47.761013
181,36.16,37.569233,37.569233,37.569233
182,46.09,45.378128,45.378128,45.378128
183,43.64,42.474644,42.474644,42.474644
184,28.2,28.017265,28.017265,28.017265
185,32.72,31.265467,31.265467,31.265467
186,35.3,34.69695,34.69695,34.69695
187,12.73,13.07572,13.07572,13.07572
188,36.7,37.171856,37.171856,37.171856
189,45.3,45.159443,45.159443,45.159443
190,48.2,47.87192,47.87192,47.87192
191,28.23,28.73197,28.73197,28.73197
192,26.7,24.00379,24.00379,24.00379
193,38.52,38.22956,38.22956,38.22956
194,34.1,33.86353,33.86353,33.86353
195,40.91,40.77754,40.77754,40.77754
196,68.8,67.254265,67.254265,67.254265
197,35.07,33.307503,33.307503,33.307503
198,28.8,29.013838,29.013838,29.013838
199,48.9,49.931484,49.931484,49.931484
200,64.77,62.711708,62.711708,62.711708
201,33.81,32.503735,32.503735,32.503735
202,23.58,28.41009,28.41009,28.41009
203,38.4,37.847195,37.847195,37.847195
204,40.96,40.300762,40.300762,40.300762
205,46.94,48.131214,48.131214,48.131214
206,41.58,40.787937,40.787937,40.787937
207,35.4,35.060028,35.060028,35.060028
208,48.9,47.98898,47.98898,47.98898
209,32.5,36.071438,36.071438,36.071438
210,47.96,47.53966,47.53966,47.53966
211,43.15,43.762264,43.762264,43.762264
212,35.7,35.126923,35.126923,35.126923
213,40.54,41.21394,41.21394,41.21394
214,59.04,58.390125,58.390125,58.390125
215,30.31,28.616535,28.616535,28.616535
216,50.7,50.037197,50.037197,50.037197
217,34.0,33.28963,33.28963,33.28963
218,39.54,38.174587,38.174587,38.174587
219,47.68,48.788437,48.788437,48.788437
220,49.5,48.628727,48.628727,48.628727
221,51.15,49.79363,49.79363,49.79363
222,50.69,46.219048,46.219048,46.219048
223,38.56,35.91497,35.91497,35.91497
224,28.67,29.52466,29.52466,29.52466
225,37.76,35.681965,35.681965,35.681965
226,48.4,47.294117,47.294117,47.294117
227,45.8,46.345036,46.345036,46.345036
228,42.4,44.011303,44.011303,44.011303
229,25.4,25.207296,25.207296,25.207296
230,31.5,31.2968,31.2968,31.2968
231,34.1,33.22164,33.22164,33.22164
232,41.1,41.177177,41.177177,41.177177
233,48.5,47.15122,47.15122,47.15122
234,45.8,46.075504,46.075504,46.075504
235,27.46,26.683908,26.683908,26.683908
236,31.2,31.236475,31.236475,31.236475
237,33.92,35.933064,35.933064,35.933064
238,26.2,27.62728,27.62728,27.62728
239,52.42,52.42615,52.42615,52.42615
240,27.6,27.572912,27.572912,27.572912
241,40.8,41.205334,41.205334,41.205334
242,55.86,53.737774,53.737774,53.737774
243,51.68,53.63107,53.63107,53.63107
244,55.54,55.372425,55.372425,55.372425
245,45.43,45.801643,45.801643,45.801643
246,34.4,35.729023,35.729023,35.729023
247,40.1,40.22162,40.22162,40.22162
248,54.3,53.572506,53.572506,53.572506
249,38.9,38.035572,38.035572,38.035572
250,31.0,28.433403,28.433403,28.433403
251,26.81,24.680834,24.680834,24.680834
252,57.41,58.027935,58.027935,58.027935
253,36.6,39.42509,39.42509,39.42509
254,33.91,33.599987,33.599987,33.599987
255,53.3,53.697872,53.697872,53.697872
256,36.0,34.700943,34.700943,34.700943
257,29.84,24.470066,24.470066,24.470066
258,27.59,29.02244,29.02244,29.02244
259,44.2,43.465588,43.465588,43.465588
260,33.6,33.4304,33.4304,33.4304
261,35.13,35.017056,35.017056,35.017056
262,53.39,48.886974,48.886974,48.886974
263,32.83,32.19782,32.19782,32.19782
264,61.28,59.809727,59.809727,59.809727
265,35.0,34.358818,34.358818,34.358818
266,29.1,28.955252,28.955252,28.955252
267,27.65,27.890757,27.890757,27.890757
268,48.86,50.31812,50.31812,50.31812
269,29.35,28.360483,28.360483,28.360483
270,30.34,28.929745,28.929745,28.929745
271,52.4,53.26874,53.26874,53.26874
272,39.5,37.771866,37.771866,37.771866
273,27.0,25.076748,25.076748,25.076748
274,29.8,30.507467,30.507467,30.507467
275,62.31,61.844738,61.844738,61.844738
276,25.02,25.270098,25.270098,25.270098
277,35.5,35.094975,35.094975,35.094975
278,64.1,61.486633,61.486633,61.486633
279,41.86,42.349533,42.349533,42.349533
280,58.2,61.52733,61.52733,61.52733
281,30.43,30.518751,30.518751,30.518751
282,29.5,29.434565,29.434565,29.434565
283,58.98,58.349373,58.349373,58.349373
284,45.2,43.614258,43.614258,43.614258
285,62.2,62.756832,62.756832,62.756832
286,57.96,57.329384,57.329384,57.329384
287,33.05,33.67542,33.67542,33.67542
288,25.8,25.976297,25.976297,25.976297
289,60.54,54.19081,54.19081,54.19081
290,29.27,27.587603,27.587603,27.587603
291,27.3,24.687689,24.687689,24.687689
292,46.8,45.94798,45.94798,45.94798
293,26.5,24.695747,24.695747,24.695747
294,30.92,31.2281,31.2281,31.2281
295,40.06,40.15676,40.15676,40.15676
296,39.02,36.52451,36.52451,36.52451
297,61.0,59.160194,59.160194,59.160194
298,36.0,35.379772,35.379772,35.379772
299,37.2,36.810555,36.810555,36.810555
300,45.8,43.67329,43.67329,43.67329
301,34.14,34.54582,34.54582,34.54582
302,30.62,28.433403,28.433403,28.433403
303,44.8,43.325504,43.325504,43.325504
304,44.25,44.370625,44.370625,44.370625
305,30.8,30.447,30.447,30.447
306,33.72,32.724686,32.724686,32.724686
307,40.92,41.064648,41.064648,41.064648
308,43.09,44.299618,44.299618,44.299618
309,63.55,63.595615,63.595615,63.595615
310,42.1,40.587166,40.587166,40.587166
311,37.97,38.064793,38.064793,38.064793
312,67.96,69.163376,69.163376,69.163376
313,67.45,67.04065,67.04065,67.04065
314,58.7,57.90723,57.90723,57.90723
315,62.95,59.33597,59.33597,59.33597
316,31.69,32.6429,32.6429,32.6429
317,35.81,35.604984,35.604984,35.604984
318,44.9,44.40302,44.40302,44.40302
319,38.85,40.44307,40.44307,40.44307
320,32.6,32.183243,32.183243,32.183243
321,35.6,35.223988,35.223988,35.223988
322,61.98,61.33427,61.33427,61.33427
323,52.3,51.591747,51.591747,51.591747
324,35.2,34.24574,34.24574,34.24574
325,33.54,32.819374,32.819374,32.819374
326,20.89,18.831673,18.831673,18.831673
327,46.13,45.048634,45.048634,45.048634
328,27.1,25.638332,25.638332,25.638332
329,32.0,30.621008,30.621008,30.621008
330,38.52,39.02357,39.02357,39.02357
331,35.42,35.291965,35.291965,35.291965
332,44.63,42.262302,42.262302,42.262302
333,45.6,45.218487,45.218487,45.218487
334,28.8,29.65293,29.65293,29.65293
335,69.26,69.05634,69.05634,69.05634
336,36.09,37.340145,37.340145,37.340145
337,53.4,53.044357,53.044357,53.044357
338,32.11,31.801167,31.801167,31.801167
339,69.7,66.49787,66.49787,66.49787
340,56.35,54.796043,54.796043,54.796043
341,36.6,36.363445,36.363445,36.363445
342,34.3,33.23198,33.23198,33.23198
343,29.78,29.57373,29.57373,29.57373
344,28.4,27.888382,27.888382,27.888382
345,32.28,31.236853,31.236853,31.236853
346,31.2,29.328424,29.328424,29.328424
347,41.6,40.73495,40.73495,40.73495
348,27.2,25.20917,25.20917,25.20917
349,48.95,48.94587,48.94587,48.94587
350,49.5,49.217556,49.217556,49.217556
351,44.5,43.857548,43.857548,43.857548
352,30.0,29.097868,29.097868,29.097868
353,59.33,59.3557,59.3557,59.3557
354,27.4,26.909517,26.909517,26.909517
355,61.3,59.15047,59.15047,59.15047
356,52.98,51.380474,51.380474,51.380474
357,33.1,31.985106,31.985106,31.985106
358,22.7,22.534979,22.534979,22.534979
359,56.21,54.672855,54.672855,54.672855
360,43.6,42.43032,42.43032,42.43032
361,29.9,28.625269,28.625269,28.625269
362,55.58,53.318317,53.318317,53.318317
363,31.42,31.671885,31.671885,31.671885
364,52.42,50.18536,50.18536,50.18536
365,41.4,40.37678,40.37678,40.37678
366,25.0,23.926004,23.926004,23.926004
367,29.46,28.433403,28.433403,28.433403
368,35.28,38.184834,38.184834,38.184834
369,38.01,37.961525,37.961525,37.961525
370,52.4,54.661854,54.661854,54.661854
371,40.24,39.605312,39.605312,39.605312
372,39.37,37.59434,37.59434,37.59434
373,32.2,30.813393,30.813393,30.813393
374,36.5,35.912777,35.912777,35.912777
375,35.8,35.13649,35.13649,35.13649
376,32.45,29.621178,29.621178,29.621178
377,30.9,31.436502,31.436502,31.436502
378,45.3,46.70511,46.70511,46.70511
379,27.3,28.433403,28.433403,28.433403
380,44.79,44.340286,44.340286,44.340286
381,38.0,33.673195,33.673195,33.673195
382,29.05,28.079805,28.079805,28.079805
383,28.7,28.243525,28.243525,28.243525
384,25.97,26.732187,26.732187,26.732187
385,33.5,33.25002,33.25002,33.25002
386,54.9,54.35731,54.35731,54.35731
387,34.58,32.840397,32.840397,32.840397
388,31.9,31.253328,31.253328,31.253328
389,57.46,56.9872,56.9872,56.9872
390,42.42,42.94063,42.94063,42.94063
391,42.75,43.602337,43.602337,43.602337
392,59.22,59.2206,59.2206,59.2206
393,34.7,34.91331,34.91331,34.91331
394,58.2,57.360535,57.360535,57.360535
395,32.1,28.433403,28.433403,28.433403
396,62.48,61.43039,61.43039,61.43039
397,67.2,64.34822,64.34822,64.34822
398,29.95,30.907156,30.907156,30.907156
399,52.3,51.501286,51.501286,51.501286
400,27.44,27.078478,27.078478,27.078478
401,28.78,27.92341,27.92341,27.92341
402,74.0,72.70751,72.70751,72.70751
403,66.33,62.310658,62.310658,62.310658
404,39.45,39.19637,39.19637,39.19637
405,48.86,50.103855,50.103855,50.103855
406,23.5,28.057491,28.057491,28.057491
407,69.8,67.172615,67.172615,67.172615
408,37.11,37.41515,37.41515,37.41515
409,31.1,31.367348,31.367348,31.367348
410,60.29,59.213894,59.213894,59.213894
411,36.14,36.378487,36.378487,36.378487
412,57.2,57.37132,57.37132,57.37132
413,37.97,37.311855,37.311855,37.311855
414,52.4,53.07127,53.07127,53.07127
415,64.9,65.65842,65.65842,65.65842
416,53.3,53.90347,53.90347,53.90347
417,48.16,48.180202,48.180202,48.180202
418,46.79,46.809017,46.809017,46.809017
419,28.3,27.802065,27.802065,27.802065
420,42.9,42.139328,42.139328,42.139328
421,34.09,34.793118,34.793118,34.793118
422,51.0,51.193466,51.193466,51.193466
423,29.4,30.182632,30.182632,30.182632
424,24.3,22.911205,22.911205,22.911205
425,36.97,36.317684,36.317684,36.317684
426,29.04,29.583605,29.583605,29.583605
427,53.0,52.92098,52.92098,52.92098
428,32.4,30.712019,30.712019,30.712019
429,74.8,73.975494,73.975494,73.975494
430,30.24,30.95611,30.95611,30.95611
431,30.1,29.560915,29.560915,29.560915
432,43.9,43.678658,43.678658,43.678658
433,31.5,31.12396,31.12396,31.12396
434,36.09,36.3119,36.3119,36.3119
435,35.6,34.50917,34.50917,34.50917
436,29.2,28.09658,28.09658,28.09658
437,63.5,63.918373,63.918373,63.918373
438,29.67,29.01021,29.01021,29.01021
439,56.2,58.16087,58.16087,58.16087
440,31.84,31.7502,31.7502,31.7502
441,40.76,40.853573,40.853573,40.853573
442,64.9,64.16033,64.16033,64.16033
443,39.8,39.54183,39.54183,39.54183
444,34.9,30.405405,30.405405,30.405405
445,34.6,32.462475,32.462475,32.462475
446,28.55,28.264097,28.264097,28.264097
447,40.52,40.513577,40.513577,40.513577
448,27.88,30.002043,30.002043,30.002043
