Temperature,Pressure,Methane,Nitrogen,M1_conc,M2_conc,Salttype,D_change,Phase,IFT
100,6.18,0,0,0,0.9,CaCl,0.9379,LIQUID,45.59
100,7.81,0,0,0,0.9,CaCl,0.9059,SC,41.65
100,11.07,0,0,0,0.9,CaCl,0.8286,SC,37.25
100,14.05,0,0,0,0.9,CaCl,0.7442,SC,34.35
100,17.39,0,0,0,0.9,CaCl,0.6414,SC,32.18
100,20.68,0,0,0,0.9,CaCl,0.5522,SC,30.41
100,25.23,0,0,0,0.9,CaCl,0.4591,SC,28.28
100,5.12,0,0,0,1.8,CaCl,1.0331,LIQUID,52.33
100,6.16,0,0,0,1.8,CaCl,1.0142,LIQUID,49.77
100,7.83,0,0,0,1.8,CaCl,0.9804,SC,46.5
100,10.99,0,0,0,1.8,CaCl,0.9047,SC,40.72
100,14.14,0,0,0,1.8,CaCl,0.8151,SC,37.74
100,17.41,0,0,0,1.8,CaCl,0.7148,SC,35.57
100,21,0,0,0,1.8,CaCl,0.6168,SC,34.72
100,25,0,0,0,1.8,CaCl,0.5365,SC,33.69
100,5.03,0,0,0,2.7,CaCl,1.1111,LIQUID,56.13
100,6.06,0,0,0,2.7,CaCl,1.0919,LIQUID,53.66
100,7.51,0,0,0,2.7,CaCl,1.0627,SC,51.77
100,11.17,0,0,0,2.7,CaCl,0.9756,SC,45.41
100,13.9,0,0,0,2.7,CaCl,0.8976,SC,42.39
100,17.64,0,0,0,2.7,CaCl,0.7831,SC,39.86
100,20.88,0,0,0,2.7,CaCl,0.6955,SC,38.62
100,25.01,0,0,0,2.7,CaCl,0.6111,SC,37.55
34.25,5,0,0,0,0,Water,0.8664,LIQUID,44.3
91.05,5,0,0,0,0,Water,0.8838,LIQUID,45.8
36.45,7,0,0,0,0,Water,0.7509,LIQUID,35.2
89.35,7,0,0,0,0,Water,0.8204,LIQUID,39.5
34.95,10,0,0,0,0,Water,0.2963,SC,32.1
89.15,10,0,0,0,0,Water,0.7634,SC,32.5
34.65,15,0,0,0,0,Water,0.1916,SC,30.8
90.35,15,0,0,0,0,Water,0.6231,SC,29.2
34.95,20,0,0,0,0,Water,0.1463,SC,30.9
90.05,25,0,0,0,0,Water,0.3598,SC,27.6
34.45,25,0,0,0,0,Water,0.119,SC,32
90.45,30,0,0,0,0,Water,0.2927,SC,25.9
34.95,30,0,0,0,0,Water,0.0936,SC,31.1
90.05,40,0,0,0,0,Water,0.2092,SC,25.8
35.65,40,0,0,0,0,Water,0.0543,SC,29.3
90.15,45,0,0,0,0,Water,0.1799,SC,27
35.85,45,0,0,0,0,Water,0.0386,SC,28.5
49.65,5,0,0,0,0,Water,0.8912,LIQUID,45.5
111.05,7,0,0,0,0,Water,0.8371,LIQUID,38
50.55,7,0,0,0,0,Water,0.8236,LIQUID,38.8
110.15,10,0,0,0,0,Water,0.7725,SC,34.4
51.05,10,0,0,0,0,Water,0.6189,SC,34.9
110.35,15,0,0,0,0,Water,0.6548,SC,30.8
50.45,15,0,0,0,0,Water,0.3081,SC,32.6
109.85,20,0,0,0,0,Water,0.5302,SC,28.3
49.95,20,0,0,0,0,Water,0.2261,SC,29.2
110.45,30,0,0,0,0,Water,0.3516,SC,25.5
50.35,25,0,0,0,0,Water,0.1786,SC,29.7
109.75,40,0,0,0,0,Water,0.2498,SC,23.4
50.15,30,0,0,0,0,Water,0.144,SC,28.4
109.75,45,0,0,0,0,Water,0.2166,SC,22.8
50.45,40,0,0,0,0,Water,0.0969,SC,28.2
51.25,45,0,0,0,0,Water,0.0793,SC,28
70.45,5,0,0,0,0,Water,0.8905,LIQUID,45.2
69.15,7,0,0,0,0,Water,0.8419,LIQUID,42.6
68.95,10,0,0,0,0,Water,0.7445,SC,36.3
69.85,15,0,0,0,0,Water,0.5024,SC,32.5
69.95,20,0,0,0,0,Water,0.345,SC,27.5
70.55,25,0,0,0,0,Water,0.2628,SC,25
69.55,30,0,0,0,0,Water,0.2186,SC,26.7
70.15,40,0,0,0,0,Water,0.1525,SC,25.4
110.05,5,0,0,0,0,Water,0.8698,LIQUID,43.7
69.75,45,0,0,0,0,Water,0.1302,SC,27.5
34.45,5,0,0,0.341880342,0,NaCl,0.8962,LIQUID,45.3
34.85,7,0,0,0.341880342,0,NaCl,0.7943,LIQUID,34.6
34.95,10,0,0,0.341880342,0,NaCl,0.3133,SC,32.4
34.05,15,0,0,0.341880342,0,NaCl,0.2119,SC,31.6
35.15,20,0,0,0.341880342,0,NaCl,0.1626,SC,31.2
34.35,25,0,0,0.341880342,0,NaCl,0.1303,SC,30
34.85,30,0,0,0.341880342,0,NaCl,0.1055,SC,29.9
35.15,40,0,0,0.341880342,0,NaCl,0.0676,SC,29.7
35.35,45,0,0,0.341880342,0,NaCl,0.0523,SC,29.8
25,1.48,0,0,0,0,Water,0.9736,GAS,59.66
25,2.86,0,0,0,0,Water,0.946,GAS,50.25
25,4.24,0,0,0,0,Water,0.91,GAS,44.09
25,5.62,0,0,0,0,Water,0.8541,GAS,35.95
25,8.38,0,0,0,0,Water,0.2587,LIQUID,25.65
25,10.44,0,0,0,0,Water,0.2204,LIQUID,25.15
25,13.89,0,0,0,0,Water,0.175,LIQUID,24.85
25,17.34,0,0,0,0,Water,0.1416,LIQUID,24.9
25,20.79,0,0,0,0,Water,0.1149,LIQUID,25
40,1.48,0,0,0,0,Water,0.9686,LIQUID,57.52
40,2.86,0,0,0,0,Water,0.9432,LIQUID,51.32
40,4.24,0,0,0,0,Water,0.9123,LIQUID,47.5
40,5.62,0,0,0,0,Water,0.8709,LIQUID,42.17
40,8.38,0,0,0,0,Water,0.5584,SC,22.23
40,10.44,0,0,0,0,Water,0.3591,SC,22.16
40,13.89,0,0,0,0,Water,0.2707,SC,23.33
40,17.34,0,0,0,0,Water,0.2192,SC,23.41
40,20.79,0,0,0,0,Water,0.1816,SC,25.07
50,1.48,0,0,0,0,Water,0.9645,LIQUID,59.16
50,2.86,0,0,0,0,Water,0.9401,LIQUID,54.23
50,4.24,0,0,0,0,Water,0.9111,LIQUID,50.14
50,5.62,0,0,0,0,Water,0.8752,LIQUID,44.15
50,8.38,0,0,0,0,Water,0.7583,SC,31.18
50,10.44,0,0,0,0,Water,0.5196,SC,23.05
50,13.89,0,0,0,0,Water,0.3489,SC,22.74
50,17.34,0,0,0,0,Water,0.2776,SC,24.27
50,20.79,0,0,0,0,Water,0.2291,SC,23.5
60,1.48,0,0,0,0,Water,0.96,LIQUID,60.69
60,2.86,0,0,0,0,Water,0.9363,LIQUID,55.39
60,4.24,0,0,0,0,Water,0.909,LIQUID,51.15
60,5.62,0,0,0,0,Water,0.8768,LIQUID,45.84
60,8.38,0,0,0,0,Water,0.7863,SC,35.83
60,10.44,0,0,0,0,Water,0.6669,SC,31.7
60,13.89,0,0,0,0,Water,0.4389,SC,23.36
60,17.34,0,0,0,0,Water,0.339,SC,23.58
60,20.79,0,0,0,0,Water,0.2791,SC,22.8
5.25,0.1,0,0,0,0,Water,0.998650472,GAS,74
34.75,0.1,0,0,0,0,Water,0.992997199,LIQUID,70.9
5.25,1,0,0,0,0,Water,0.980243161,GAS,64.5
34.85,2.06,0,0,0,0,Water,0.95623987,LIQUID,59
5.35,2,0,0,0,0,Water,0.956597222,GAS,55.1
34.85,4.05,0,0,0,0,Water,0.907063197,LIQUID,48.8
5.35,2.99,0,0,0,0,Water,0.929435484,GAS,46.1
34.95,5.04,0,0,0,0,Water,0.875247525,LIQUID,44.2
5.95,4.6,0,0,0,0,Water,0.10636646,GAS,27.4
34.95,6.04,0,0,0,0,Water,0.835416667,LIQUID,40.1
5.85,5.02,0,0,0,0,Water,0.101140125,GAS,27.5
34.95,7.05,0,0,0,0,Water,0.772532189,LIQUID,36
5.85,6.03,0,0,0,0,Water,0.091123067,GAS,27.1
34.95,7.55,0,0,0,0,Water,0.713983051,SC,33.7
5.85,6.98,0,0,0,0,Water,0.082760775,GAS,26.5
34.95,8.01,0,0,0,0,Water,0.561938959,SC,31.3
5.85,9.99,0,0,0,0,Water,0.061118012,LIQUID,24.6
35.05,9.03,0,0,0,0,Water,0.333692142,SC,31
5.85,16.13,0,0,0,0,Water,0.028317034,LIQUID,19.4
